,months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,Contract Years,total_premiums_paid,net_value_of_customer,days_since_policy_binding,policy_bind_date_month,policy_bind_date_day,incident_date_month,incident_date_day,auto_make_encoded,auto_model_encoded,incident_city_encoded,incident_severity_encoded
222,330,50,365364,IL,500/1000,1000,978.46,0,431121,FEMALE,High School,sales,yachting,husband,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,Hillsdale,6634 Texas Ridge,19,1,YES,0,0,NO,49060,8920,8920,31220,Chevrolet,Silverado,1995,N,27.5,26907.65,-22152.35,4421,12,28,2,4,3,32,2,2
223,362,50,114839,IL,250/500,500,1198.34,4000000,619735,MALE,Associate,sales,board-games,wife,53000,-72500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Columbus,8655 Cherokee Lane,17,3,Unknown,1,1,NO,57060,6340,6340,44380,Mercedes,E400,1995,N,30.166666666666668,36149.92333333333,-20910.076666666668,3293,1,1,1,7,8,12,1,2
224,241,38,872734,IN,100/300,2000,1003.23,0,470485,FEMALE,Associate,tech-support,kayaking,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Arlington,4955 Lincoln Ridge,23,3,Unknown,0,3,YES,77880,12980,12980,51920,Accura,MDX,2008,N,20.083333333333332,20148.202500000003,-57731.7975,9009,5,19,1,17,0,23,0,0
225,245,41,267885,IN,500/1000,2000,1212.0,0,620473,MALE,Masters,exec-managerial,basketball,unmarried,24400,-60500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Springfield,7705 Best Ridge,4,1,YES,0,1,YES,73500,7350,14700,51450,Jeep,Wrangler,1999,N,20.416666666666668,24745.0,-48755.0,520,8,26,1,28,7,36,6,2
226,371,52,740505,IL,250/500,1000,1242.96,7000000,449800,FEMALE,High School,other-service,paintball,own-child,0,-37100,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Riverwood,5838 Pine Lane,2,2,YES,2,0,Unknown,88920,6840,13680,68400,Accura,RSX,2010,N,30.916666666666668,38428.18,-50491.82,6342,10,12,2,22,0,31,5,1
227,343,52,629663,IL,500/1000,1000,1053.02,0,602402,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,7331 Sky Hwy,2,1,Unknown,0,2,NO,47630,12990,4330,30310,Toyota,Corolla,2005,Y,28.583333333333332,30098.821666666667,-17531.178333333333,4774,1,21,2,16,12,11,0,0
228,377,53,839884,IL,100/300,500,1693.63,0,452456,FEMALE,MD,craft-repair,kayaking,unmarried,0,-64000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,Hillsdale,5640 Embaracadero Lane,10,3,YES,1,3,NO,59040,6560,6560,45920,Saab,93,2015,N,31.416666666666668,53208.209166666675,-5831.790833333325,6742,9,2,2,17,10,2,2,2
229,154,37,241562,IL,250/500,1000,2047.59,0,439269,FEMALE,MD,farming-fishing,dancing,other-relative,0,-67800,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,9610 Cherokee St,2,1,Unknown,0,3,NO,79530,14460,7230,57840,Accura,MDX,2000,N,12.833333333333334,26277.405,-53252.595,1807,1,28,1,9,0,23,1,1
230,166,34,405533,OH,100/300,1000,1083.72,0,617774,FEMALE,High School,machine-op-inspct,base-jumping,wife,65600,-68200,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,3550 Washington Ave,18,1,NO,0,2,YES,53680,4880,4880,43920,Honda,CRV,2005,N,13.833333333333334,14991.460000000001,-38688.54,129,10,3,2,9,6,8,1,2
231,298,46,667021,OH,500/1000,1000,1138.42,6000000,477678,MALE,JD,prof-specialty,dancing,own-child,36900,-55000,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Arlington,5277 Texas Lane,18,1,NO,2,3,YES,33550,3050,6100,24400,Volkswagen,Passat,2005,N,24.833333333333332,28270.763333333336,-5279.236666666664,2847,5,2,2,16,13,28,0,1
232,235,42,511621,IN,250/500,500,1072.62,0,444913,FEMALE,Masters,machine-op-inspct,exercise,husband,39900,-60200,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,3654 Cherokee Ave,7,4,Unknown,2,1,YES,69100,6910,6910,55280,Toyota,Highlander,2006,N,19.583333333333332,21005.475,-48094.525,8915,9,22,2,18,12,18,6,2
233,172,35,476923,IL,100/300,2000,1219.04,0,456602,MALE,MD,handlers-cleaners,paintball,own-child,63600,-68700,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,Hillsdale,7380 5th Hwy,19,3,Unknown,2,0,NO,79750,14500,14500,50750,Nissan,Pathfinder,1999,N,14.333333333333334,17472.906666666666,-62277.09333333334,3766,9,19,1,11,9,29,2,0
234,27,28,735822,IN,100/300,2000,1371.78,0,451560,MALE,JD,farming-fishing,polo,other-relative,0,-32500,Multi-vehicle Collision,Front Collision,Major Damage,Other,PA,Riverwood,2539 Embaracadero Ridge,10,3,Unknown,0,2,YES,53600,5360,10720,37520,Audi,A5,2015,Y,2.25,3086.505,-50513.495,7100,8,28,2,4,1,5,5,0
235,428,54,492745,IN,100/300,2000,1506.21,0,453407,MALE,Masters,transport-moving,kayaking,unmarried,0,-24400,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Riverwood,4693 Lincoln Hwy,16,3,NO,1,0,Unknown,76560,12760,6380,57420,Nissan,Ultima,2009,N,35.666666666666664,53721.49,-22838.510000000002,4005,2,4,1,22,9,35,5,1
236,99,32,130930,IN,100/300,1000,1058.21,3000000,618655,MALE,JD,craft-repair,golf,unmarried,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Arlington,2376 Sky Ridge,17,1,YES,1,1,NO,41130,4570,4570,31990,Dodge,RAM,1999,N,8.25,8730.2325,-32399.7675,171,7,23,1,10,4,30,0,2
237,107,26,261119,IL,500/1000,2000,932.14,0,612550,MALE,MD,sales,cross-fit,own-child,40600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,1273 Rock Lane,2,3,NO,2,3,NO,78650,14300,7150,57200,Audi,A3,1996,Y,8.916666666666666,8311.581666666667,-70338.41833333333,6504,3,21,1,10,1,4,1,2
238,272,41,280709,OH,500/1000,2000,1608.34,0,466718,FEMALE,Associate,farming-fishing,reading,own-child,33300,-10600,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,8281 Lincoln Lane,19,1,Unknown,1,1,Unknown,71060,6460,12920,51680,Saab,92x,2010,N,22.666666666666668,36455.706666666665,-34604.293333333335,8687,5,6,2,16,10,1,6,0
239,151,37,898573,IN,500/1000,1000,1728.56,0,617947,FEMALE,Masters,farming-fishing,dancing,own-child,54000,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,6429 4th Hwy,0,1,YES,1,1,Unknown,38830,3530,3530,31770,Suburu,Legacy,1999,N,12.583333333333334,21751.046666666665,-17078.953333333335,8220,8,7,2,8,11,21,4,1
240,249,43,547802,IL,250/500,1000,1518.46,0,606238,FEMALE,MD,armed-forces,cross-fit,own-child,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,2201 4th Lane,16,1,Unknown,0,0,YES,53500,5350,5350,42800,Saab,92x,2015,N,20.75,31508.045000000002,-21991.954999999998,510,9,3,1,26,10,1,5,0
241,177,38,600845,IL,100/300,2000,1540.19,0,463842,FEMALE,College,adm-clerical,skydiving,other-relative,0,-74500,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,5506 Best St,20,1,YES,2,0,NO,73700,7370,7370,58960,Chevrolet,Silverado,2001,Y,14.75,22717.802499999998,-50982.1975,1123,1,5,2,1,3,32,1,0
242,190,40,390381,OH,500/1000,2000,965.21,0,610354,FEMALE,JD,exec-managerial,camping,other-relative,36900,-53700,Parked Car,Unknown,Trivial Damage,None,SC,Hillsdale,8404 Embaracadero St,10,1,Unknown,2,1,YES,6300,630,630,5040,Nissan,Ultima,2001,N,15.833333333333334,15282.491666666667,8982.491666666667,2928,1,27,2,2,9,35,2,3
243,174,36,629918,IL,100/300,2000,1278.75,0,461328,FEMALE,College,tech-support,paintball,own-child,53200,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Riverwood,2117 Lincoln Hwy,21,3,Unknown,2,2,NO,65400,10900,10900,43600,Dodge,RAM,2012,N,14.5,18541.875,-46858.125,3402,10,14,2,6,4,30,5,2
244,95,28,208298,OH,250/500,1000,773.99,0,458727,MALE,Associate,armed-forces,board-games,other-relative,0,-70300,Vehicle Theft,Unknown,Trivial Damage,None,PA,Springfield,6359 MLK Ridge,3,1,YES,1,2,NO,3200,640,320,2240,Mercedes,E400,2014,N,7.916666666666667,6127.420833333334,2927.4208333333336,8825,11,3,1,1,8,12,6,3
245,371,51,513099,IN,500/1000,1000,1532.47,0,452587,FEMALE,Associate,tech-support,golf,other-relative,60300,-24700,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Arlington,9751 Sky Ridge,7,1,YES,0,3,YES,75400,7540,15080,52780,Dodge,RAM,2012,Y,30.916666666666668,47378.864166666666,-28021.135833333334,3383,10,15,1,19,4,30,0,0
246,2,28,184938,IL,250/500,1000,1340.56,0,433184,FEMALE,JD,machine-op-inspct,golf,not-in-family,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Northbend,9020 Elm Ave,19,1,YES,0,2,YES,58140,6460,6460,45220,Saab,92x,2008,N,0.16666666666666666,223.42666666666665,-57916.573333333334,5719,5,22,1,17,10,1,3,1
247,269,44,187775,OH,100/300,500,1297.75,4000000,451280,FEMALE,JD,other-service,chess,own-child,0,-41400,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Columbus,1830 Sky St,15,3,Unknown,0,1,Unknown,98670,15180,15180,68310,Chevrolet,Tahoe,2010,Y,22.416666666666668,29091.229166666664,-69578.77083333334,4425,12,21,2,1,3,34,1,2
248,101,27,326322,IL,250/500,1000,433.33,0,603269,MALE,Masters,machine-op-inspct,golf,other-relative,25900,0,Parked Car,Unknown,Minor Damage,None,SC,Hillsdale,6067 Weaver Ridge,7,1,Unknown,0,3,NO,5900,1180,590,4130,Mercedes,E400,2009,N,8.416666666666666,3647.1941666666667,-2252.8058333333333,2883,2,10,1,2,8,12,2,1
249,94,30,146138,IN,250/500,2000,1025.54,0,442632,FEMALE,High School,armed-forces,paintball,other-relative,0,-52600,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Arlington,1840 Embaracadero Ave,19,1,Unknown,1,3,YES,64100,6410,6410,51280,Chevrolet,Malibu,2001,N,7.833333333333333,8033.396666666666,-56066.60333333333,4739,3,1,2,20,3,25,0,0
250,117,28,336047,OH,250/500,500,1264.77,0,447300,FEMALE,Associate,transport-moving,yachting,unmarried,47500,-32500,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,4058 Tree Drive,13,2,YES,0,1,Unknown,55440,5040,10080,40320,Suburu,Forrestor,2009,Y,9.75,12331.5075,-43108.4925,4308,4,21,2,5,11,15,6,2
251,111,27,532330,OH,250/500,500,1459.97,5000000,441783,MALE,MD,sales,yachting,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,4983 MLK Ridge,2,3,NO,1,2,NO,80850,7350,14700,58800,Ford,F150,2011,Y,9.25,13504.722500000002,-67345.2775,4541,9,22,2,27,5,14,3,0
252,242,40,118137,OH,100/300,500,1238.65,0,468702,FEMALE,High School,transport-moving,bungie-jumping,husband,0,-44600,Vehicle Theft,Unknown,Trivial Damage,Police,WV,Springfield,9744 Texas Drive,5,1,YES,1,1,NO,7480,680,680,6120,Saab,95,1998,N,20.166666666666668,24979.44166666667,17499.44166666667,6195,2,10,1,27,10,3,6,3
253,440,61,212674,OH,250/500,500,1050.76,0,467942,MALE,PhD,transport-moving,movies,wife,41500,-70200,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,Riverwood,8821 Elm St,21,1,Unknown,2,3,NO,53640,5960,5960,41720,Nissan,Maxima,2004,Y,36.666666666666664,38527.86666666667,-15112.133333333331,8182,9,1,1,26,9,26,5,0
254,20,23,935596,OH,500/1000,1000,1711.72,0,463678,FEMALE,JD,tech-support,base-jumping,wife,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,2886 Tree Ridge,21,3,NO,2,2,NO,63250,5750,11500,46000,Chevrolet,Tahoe,2002,Y,1.6666666666666667,2852.866666666667,-60397.13333333333,5736,5,1,1,13,3,34,4,0
255,461,57,737593,IL,100/300,500,865.33,7000000,615220,FEMALE,High School,farming-fishing,golf,own-child,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,5236 Weaver Drive,7,3,NO,0,1,Unknown,59040,9840,9840,39360,Dodge,RAM,1995,N,38.416666666666664,33243.09416666667,-25796.90583333333,6235,12,19,1,14,4,30,2,0
256,208,36,812025,IL,250/500,500,1153.49,0,432711,MALE,Associate,craft-repair,base-jumping,other-relative,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,5862 Apache Ridge,16,3,YES,1,0,YES,50500,10100,5050,35350,Accura,TL,2004,N,17.333333333333332,19993.826666666668,-30506.173333333332,5362,6,18,2,22,0,33,0,2
257,279,43,168151,OH,500/1000,2000,1281.25,0,463583,MALE,Associate,machine-op-inspct,cross-fit,other-relative,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,7859 4th Ridge,13,1,YES,0,1,NO,57690,6410,12820,38460,Mercedes,C300,2010,Y,23.25,29789.0625,-27900.9375,7208,4,24,1,17,8,7,1,0
258,244,40,594739,IL,100/300,500,1342.8,0,439502,FEMALE,MD,sales,base-jumping,husband,0,0,Vehicle Theft,Unknown,Trivial Damage,Police,NY,Springfield,6259 Weaver St,2,1,YES,1,3,YES,5940,660,660,4620,Toyota,Camry,2014,N,20.333333333333332,27303.6,21363.6,3153,6,16,2,2,12,9,6,3
259,134,30,843227,OH,250/500,2000,1443.32,0,613287,FEMALE,PhD,exec-managerial,dancing,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,9980 Lincoln Ave,19,3,Unknown,0,2,YES,47790,5310,5310,37170,Suburu,Impreza,1995,Y,11.166666666666666,16117.073333333332,-31672.926666666666,2658,9,28,1,7,11,19,3,0
260,122,29,283925,OH,250/500,1000,1629.94,0,620104,FEMALE,Masters,priv-house-serv,skydiving,other-relative,0,-47100,Parked Car,Unknown,Trivial Damage,None,SC,Riverwood,7828 Cherokee Ave,17,1,Unknown,0,1,NO,3850,350,350,3150,Dodge,Neon,2014,N,10.166666666666666,16571.056666666667,12721.056666666667,8474,11,21,2,2,4,27,5,3
261,156,31,475588,IL,100/300,2000,1134.08,0,446895,MALE,PhD,other-service,reading,husband,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,5812 Oak St,3,1,Unknown,2,0,Unknown,59000,5900,5900,47200,Ford,Fusion,2013,Y,13.0,14743.039999999999,-44256.96,6713,9,21,2,7,5,16,0,0
262,232,43,751905,OH,250/500,500,1483.91,8000000,431531,MALE,College,machine-op-inspct,golf,husband,0,-33600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,2318 Washington Hwy,17,3,NO,0,1,Unknown,70600,7060,14120,49420,Volkswagen,Passat,2013,Y,19.333333333333332,28688.92666666667,-41911.073333333334,4995,5,16,1,18,13,28,0,0
263,244,40,226725,IN,500/1000,2000,1304.67,7000000,605408,MALE,Masters,armed-forces,base-jumping,other-relative,0,-45000,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,8809 Flute St,5,3,Unknown,1,1,Unknown,61490,5590,11180,44720,Dodge,RAM,2001,N,20.333333333333332,26528.29,-34961.71,5631,8,11,1,10,4,30,2,1
264,84,30,942504,IL,500/1000,2000,1035.79,0,457551,FEMALE,MD,protective-serv,kayaking,wife,44400,-51500,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,3184 Oak Ave,9,1,NO,1,0,YES,57640,5240,10480,41920,Volkswagen,Passat,2010,N,7.0,7250.53,-50389.47,4246,6,16,1,30,13,28,3,1
265,394,57,395572,IL,250/500,500,1401.2,0,619892,FEMALE,High School,craft-repair,movies,own-child,51500,0,Vehicle Theft,Unknown,Trivial Damage,Police,NC,Hillsdale,6493 Lincoln Lane,9,1,NO,1,0,NO,6890,1060,1060,4770,Audi,A5,1999,N,32.833333333333336,46006.066666666666,39116.066666666666,5780,3,30,1,25,1,5,2,3
266,246,45,889883,IL,250/500,1000,1665.45,0,445853,MALE,JD,machine-op-inspct,hiking,wife,34400,-33100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Columbus,7162 Maple Ave,9,3,Unknown,2,2,Unknown,53280,11840,5920,35520,Toyota,Camry,2006,Y,20.5,34141.725,-19138.275,5839,2,3,1,29,12,9,1,0
267,35,29,818167,IN,500/1000,2000,653.66,0,475483,FEMALE,JD,handlers-cleaners,video-games,unmarried,52100,-46900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,5455 Tree Ridge,22,3,NO,0,0,Unknown,78300,15660,7830,54810,BMW,X5,2009,N,2.9166666666666665,1906.5083333333332,-76393.49166666667,1279,8,25,2,24,2,37,6,1
268,156,37,277767,OH,100/300,500,1080.13,0,606290,MALE,Associate,protective-serv,reading,other-relative,0,-61000,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,5778 Pine Ridge,15,3,YES,0,3,NO,41490,4610,4610,32270,Nissan,Pathfinder,2001,N,13.0,14041.69,-27448.309999999998,1651,6,28,1,4,9,29,6,0
269,195,36,842618,IN,100/300,2000,1346.18,0,611852,FEMALE,Associate,machine-op-inspct,camping,wife,57800,-53300,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,3797 Solo Lane,14,3,YES,2,3,YES,68970,12540,6270,50160,Chevrolet,Tahoe,2007,N,16.25,21875.425,-47094.575,4859,11,6,2,25,3,34,2,2
270,369,55,577810,OH,250/500,2000,1589.54,0,444734,MALE,College,handlers-cleaners,camping,husband,55400,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,9373 Pine Hwy,6,3,Unknown,2,0,YES,85300,17060,8530,59710,Toyota,Highlander,2003,N,30.75,48878.355,-36421.645,652,4,15,1,27,12,18,0,1
271,271,40,873114,IL,100/300,1000,1251.65,0,433683,FEMALE,Associate,other-service,camping,wife,71200,0,Parked Car,Unknown,Minor Damage,None,NY,Hillsdale,1365 Francis Ave,6,1,NO,0,0,NO,3080,560,280,2240,Audi,A3,2012,N,22.583333333333332,28266.42916666667,25186.42916666667,7014,12,7,2,19,1,4,2,1
272,332,47,994538,IL,100/300,2000,1083.01,0,448882,MALE,MD,craft-repair,paintball,other-relative,91900,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,9239 Washington Ridge,22,4,YES,2,0,Unknown,71760,11040,11040,49680,Jeep,Grand Cherokee,2010,Y,27.666666666666668,29963.276666666665,-41796.723333333335,8492,11,1,1,31,7,17,0,0
273,107,26,727792,OH,100/300,500,974.59,0,466838,FEMALE,JD,armed-forces,skydiving,wife,62800,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,3416 Washington Drive,14,3,Unknown,1,0,NO,59700,11940,11940,35820,Nissan,Ultima,2002,N,8.916666666666666,8690.094166666668,-51009.90583333333,244,5,19,1,18,9,35,0,1
274,217,39,522506,IL,500/1000,2000,1399.85,0,605490,FEMALE,Masters,other-service,skydiving,other-relative,49900,-19800,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,1923 2nd Hwy,16,3,NO,0,2,Unknown,64920,10820,10820,43280,Ford,Fusion,1997,N,18.083333333333332,25313.954166666663,-39606.04583333334,8336,3,15,1,10,5,16,1,1
275,243,43,367595,IN,500/1000,500,1307.74,0,466137,FEMALE,Associate,machine-op-inspct,board-games,own-child,0,-75700,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,6451 1st Hwy,10,3,Unknown,0,1,NO,37530,4170,4170,29190,Jeep,Wrangler,2008,N,20.25,26481.735,-11048.265,3281,2,3,1,28,7,36,5,0
276,296,42,586104,IN,250/500,2000,1219.27,0,466970,MALE,Associate,tech-support,paintball,husband,53100,-63400,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,1267 Francis Hwy,9,3,YES,1,2,NO,64080,7120,7120,49840,Saab,93,2012,N,24.666666666666668,30075.326666666668,-34004.67333333333,4355,3,16,2,16,10,2,1,2
277,264,41,424862,OH,100/300,500,1411.3,0,474801,MALE,PhD,prof-specialty,cross-fit,unmarried,55600,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,4158 Washington Lane,4,1,NO,1,0,Unknown,60390,10980,5490,43920,BMW,M5,2004,Y,22.0,31048.6,-29341.4,4498,10,16,2,8,2,22,4,1
278,108,33,512813,IL,100/300,2000,694.45,0,450703,FEMALE,JD,armed-forces,exercise,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,3796 Cherokee Drive,6,3,Unknown,0,1,YES,64350,5850,11700,46800,Nissan,Pathfinder,2011,Y,9.0,6250.05,-58099.95,9124,1,27,1,20,9,29,3,0
279,32,38,356768,IL,100/300,500,1006.77,6000000,478172,FEMALE,College,other-service,sleeping,own-child,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,7434 Oak Hwy,15,3,YES,2,1,YES,70900,14180,7090,49630,BMW,X6,1997,N,2.6666666666666665,2684.72,-68215.28,1793,3,11,2,6,2,38,3,1
280,259,39,330506,OH,250/500,1000,1422.36,0,604668,FEMALE,JD,craft-repair,movies,unmarried,0,-83900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,5178 Weaver Hwy,12,3,NO,1,3,Unknown,46560,7760,7760,31040,Nissan,Ultima,2012,N,21.583333333333332,30699.269999999997,-15860.730000000003,7067,9,19,1,24,9,35,1,1
281,186,33,779075,IN,100/300,1000,1348.32,0,469429,FEMALE,Associate,craft-repair,cross-fit,wife,37600,-37600,Vehicle Theft,Unknown,Trivial Damage,Police,NY,Arlington,8477 Francis Hwy,3,1,NO,2,1,Unknown,4730,860,860,3010,Chevrolet,Malibu,2013,Y,15.5,20898.96,16168.96,1782,2,27,1,14,3,25,0,3
282,201,40,799501,OH,250/500,2000,1315.56,0,471806,FEMALE,PhD,transport-moving,video-games,not-in-family,0,0,Vehicle Theft,Unknown,Minor Damage,Police,SC,Northbrook,7693 Britain Lane,14,1,YES,0,0,YES,6820,1240,1240,4340,Jeep,Grand Cherokee,2003,N,16.75,22035.629999999997,15215.629999999997,8453,12,28,2,18,7,17,4,1
283,436,58,987905,OH,250/500,2000,1407.01,5000000,475705,MALE,PhD,tech-support,sleeping,other-relative,47400,-27600,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,3658 Rock Drive,10,1,Unknown,0,2,Unknown,59900,11980,5990,41930,BMW,X5,1997,Y,36.333333333333336,51121.363333333335,-8778.636666666665,4638,4,30,1,10,2,37,5,0
284,189,36,967756,OH,250/500,2000,1388.58,0,459122,FEMALE,MD,priv-house-serv,basketball,own-child,0,-49400,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,2617 Andromedia Drive,17,3,Unknown,1,3,YES,79560,13260,13260,53040,Ford,Escape,2009,N,15.75,21870.135,-57689.865000000005,2848,4,28,2,13,5,13,5,0
285,105,33,830414,IL,500/1000,500,1310.76,0,476737,FEMALE,High School,adm-clerical,kayaking,not-in-family,0,-40900,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,9279 Oak Hwy,8,1,YES,0,1,Unknown,70290,12780,6390,51120,Accura,MDX,2008,N,8.75,11469.15,-58820.85,6798,7,8,2,17,0,23,4,2
286,163,31,127313,IN,100/300,1000,1004.63,6000000,460359,MALE,JD,priv-house-serv,hiking,not-in-family,26900,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,3439 Andromedia Hwy,14,3,YES,2,0,NO,63910,5810,11620,46480,Suburu,Forrestor,1999,N,13.583333333333334,13646.224166666667,-50263.77583333333,4664,4,1,1,7,11,15,2,2
287,219,40,786957,OH,100/300,500,1134.91,0,452735,FEMALE,Associate,transport-moving,golf,not-in-family,68700,0,Vehicle Theft,Unknown,Trivial Damage,None,SC,Riverwood,5901 Elm Drive,6,1,Unknown,1,0,NO,6400,640,640,5120,Toyota,Camry,1997,N,18.25,20712.107500000002,14312.107500000002,3014,10,29,1,29,12,9,5,3
288,88,25,332892,IN,250/500,1000,1194.0,0,613583,FEMALE,JD,handlers-cleaners,movies,husband,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,3982 Washington Hwy,6,1,YES,1,2,YES,66780,7420,7420,51940,Ford,Escape,2013,Y,7.333333333333333,8756.0,-58024.0,2668,10,25,2,13,5,13,4,0
289,40,39,448642,IN,500/1000,1000,1248.25,4000000,605692,FEMALE,College,sales,hiking,own-child,0,-33300,Parked Car,Unknown,Minor Damage,Police,VA,Northbrook,3376 5th Drive,8,1,NO,0,2,Unknown,8760,1460,1460,5840,BMW,3 Series,2013,N,3.3333333333333335,4160.833333333333,-4599.166666666667,5058,3,28,2,1,2,0,4,1
290,284,42,526039,OH,100/300,500,1338.54,-1000000,438178,MALE,Associate,machine-op-inspct,kayaking,wife,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,3936 Tree Drive,13,1,YES,0,1,Unknown,94160,8560,17120,68480,Chevrolet,Malibu,1996,N,23.666666666666668,31678.78,-62481.22,7210,5,4,1,29,3,25,0,0
291,59,40,444422,IL,250/500,2000,782.23,0,449221,MALE,College,protective-serv,golf,other-relative,64200,-32300,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,6605 Tree Ave,0,3,Unknown,0,2,NO,51570,5730,11460,34380,BMW,X5,2010,N,4.916666666666667,3845.9641666666666,-47724.035833333335,1227,9,28,2,6,2,37,6,2
292,39,31,689500,IL,250/500,2000,1366.9,0,459322,FEMALE,High School,handlers-cleaners,polo,husband,0,-15700,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,3102 Apache St,14,3,Unknown,1,0,NO,52700,10540,10540,31620,BMW,X6,2014,Y,3.25,4442.425,-48257.575,4383,1,28,1,28,2,38,3,0
293,147,34,806081,IL,500/1000,1000,1275.81,0,472657,MALE,High School,sales,dancing,wife,0,-48300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,7756 Pine Hwy,13,1,YES,2,2,Unknown,101010,15540,15540,69930,Mercedes,ML350,1998,N,12.25,15628.672499999999,-85381.3275,1450,2,1,1,21,8,24,1,1
294,156,37,384618,IN,250/500,500,1090.65,0,608331,MALE,High School,exec-managerial,golf,unmarried,0,-51800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,7142 5th Lane,16,4,Unknown,1,2,YES,53400,5340,5340,42720,Honda,Civic,2010,Y,13.0,14178.45,-39221.55,8011,2,9,1,16,6,10,1,1
