,months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,days_since_policy_binding,fraud_satus,Contract Years,total_premiums_paid,net_value_of_customer,policy_bind_date_month,policy_bind_date_day,incident_date_month,incident_date_day,auto_make_encoded,auto_model_encoded,incident_city_encoded,incident_severity_encoded
248,101,27,326322,0,1,1000,433.33,0,603269,1,5,6,9,2,25900,0,1,3,1,4,4,2,563,7,1,1,0,3,0,5900,1180,590,4130,8,12,2009,0,2883,1,8.416666666666666,3647.1941666666667,-2252.8058333333333,2,10,1,2,8,12,2,1
249,94,30,146138,1,1,2000,1025.54,0,442632,0,2,1,13,2,0,-52600,2,1,0,1,0,0,95,19,1,1,1,3,2,64100,6410,6410,51280,3,25,2001,0,4739,1,7.833333333333333,8033.396666666666,-56066.60333333333,3,1,2,20,3,25,0,0
250,117,28,336047,2,1,500,1264.77,0,447300,0,0,13,19,4,47500,-32500,0,1,2,1,4,6,345,13,2,2,0,1,1,55440,5040,10080,40320,11,15,2009,1,4308,0,9.75,12331.5075,-43108.4925,4,21,2,5,11,15,6,2
251,111,27,532330,2,1,500,1459.97,5000000,441783,1,4,11,19,2,0,0,0,2,0,3,4,3,446,2,3,0,1,2,0,80850,7350,14700,58800,5,14,2011,1,4541,0,9.25,13504.722500000002,-67345.2775,9,22,2,27,5,14,3,0
252,242,40,118137,2,0,500,1238.65,0,468702,0,2,13,3,0,0,-44600,3,3,3,3,6,6,975,5,1,2,1,1,0,7480,680,680,6120,10,3,1998,0,6195,1,20.166666666666668,24979.44166666667,17499.44166666667,2,10,1,27,10,3,6,3
253,440,61,212674,2,1,500,1050.76,0,467942,1,6,13,12,5,41500,-70200,2,2,0,1,2,5,867,21,1,1,2,3,0,53640,5960,5960,41720,9,26,2004,1,8182,0,36.666666666666664,38527.86666666667,-15112.133333333331,9,1,1,26,9,26,5,0
254,20,23,935596,2,2,1000,1711.72,0,463678,0,3,12,0,5,0,0,0,1,0,1,4,4,203,21,3,0,2,2,0,63250,5750,11500,46000,3,34,2002,1,5736,0,1.6666666666666667,2852.866666666667,-60397.13333333333,5,1,1,13,3,34,4,0
255,461,57,737593,0,0,500,865.33,7000000,615220,0,2,4,9,3,0,0,0,2,0,0,1,2,472,7,3,0,0,1,1,59040,9840,9840,39360,4,30,1995,0,6235,1,38.416666666666664,33243.09416666667,-25796.90583333333,12,19,1,14,4,30,2,0
256,208,36,812025,0,1,500,1153.49,0,432711,1,0,2,0,2,0,0,0,2,2,2,4,0,541,16,3,2,1,0,2,50500,10100,5050,35350,0,33,2004,0,5362,1,17.333333333333332,19993.826666666668,-30506.173333333332,6,18,2,22,0,33,0,2
257,279,43,168151,2,2,2000,1281.25,0,463583,1,0,6,6,2,0,0,2,2,0,3,4,1,778,13,1,2,0,1,0,57690,6410,12820,38460,8,7,2010,1,7208,0,23.25,29789.0625,-27900.9375,4,24,1,17,8,7,1,0
258,244,40,594739,0,0,500,1342.8,0,439502,0,4,11,0,0,0,0,3,3,3,3,1,6,581,2,1,2,1,3,2,5940,660,660,4620,12,9,2014,0,3153,1,20.333333333333332,27303.6,21363.6,6,16,2,2,12,9,6,3
259,134,30,843227,2,1,2000,1443.32,0,613287,0,6,3,7,4,0,0,0,1,0,1,4,3,998,19,3,1,0,2,2,47790,5310,5310,37170,11,19,1995,1,2658,0,11.166666666666666,16117.073333333332,-31672.926666666666,9,28,1,7,11,19,3,0
260,122,29,283925,2,1,1000,1629.94,0,620104,0,5,8,16,2,0,-47100,1,3,3,4,4,5,775,17,1,1,0,1,0,3850,350,350,3150,4,27,2014,0,8474,1,10.166666666666666,16571.056666666667,12721.056666666667,11,21,2,2,4,27,5,3
261,156,31,475588,0,0,2000,1134.08,0,446895,1,6,7,15,0,0,0,2,0,0,3,0,0,534,3,1,1,2,0,1,59000,5900,5900,47200,5,16,2013,1,6713,0,13.0,14743.039999999999,-44256.96,9,21,2,7,5,16,0,0
262,232,43,751905,2,1,500,1483.91,8000000,431531,1,1,6,9,0,0,-33600,0,1,0,0,1,0,147,17,3,0,0,1,1,70600,7060,14120,49420,13,28,2013,1,4995,0,19.333333333333332,28688.92666666667,-41911.073333333334,5,16,1,18,13,28,0,0
263,244,40,226725,1,2,2000,1304.67,7000000,605408,1,5,1,0,2,0,-45000,0,2,1,3,4,2,865,5,3,1,1,1,1,61490,5590,11180,44720,4,30,2001,0,5631,1,20.333333333333332,26528.29,-34961.71,8,11,1,10,4,30,2,1
264,84,30,942504,0,2,2000,1035.79,0,457551,0,4,10,11,5,44400,-51500,2,2,1,3,4,3,242,9,1,0,1,0,2,57640,5240,10480,41920,13,28,2010,0,4246,1,7.0,7250.53,-50389.47,6,16,1,30,13,28,3,1
265,394,57,395572,0,1,500,1401.2,0,619892,0,2,2,12,3,51500,0,3,3,3,3,0,2,611,9,1,0,1,0,0,6890,1060,1060,4770,1,5,1999,0,5780,1,32.833333333333336,46006.066666666666,39116.066666666666,3,30,1,25,1,5,2,3
266,246,45,889883,0,1,1000,1665.45,0,445853,1,3,6,10,5,34400,-33100,0,2,0,1,3,1,691,9,3,1,2,2,1,53280,11840,5920,35520,12,9,2006,1,5839,0,20.5,34141.725,-19138.275,2,3,1,29,12,9,1,0
267,35,29,818167,1,2,2000,653.66,0,475483,0,3,5,18,4,52100,-46900,0,1,1,1,4,6,492,22,3,0,0,0,1,78300,15660,7830,54810,2,37,2009,0,1279,1,2.9166666666666665,1906.5083333333332,-76393.49166666667,8,25,2,24,2,37,6,1
268,156,37,277767,2,0,500,1080.13,0,606290,1,0,10,15,2,0,-61000,0,1,0,0,3,6,526,15,3,2,0,3,0,41490,4610,4610,32270,9,29,2001,0,1651,1,13.0,14041.69,-27448.309999999998,6,28,1,4,9,29,6,0
269,195,36,842618,1,0,2000,1346.18,0,611852,0,0,6,4,5,57800,-53300,0,0,2,1,4,2,309,14,3,2,2,3,2,68970,12540,6270,50160,3,34,2007,0,4859,1,16.25,21875.425,-47094.575,11,6,2,25,3,34,2,2
270,369,55,577810,2,1,2000,1589.54,0,444734,1,1,5,4,0,55400,0,0,1,1,3,5,0,939,6,3,1,2,0,2,85300,17060,8530,59710,12,18,2003,0,652,1,30.75,48878.355,-36421.645,4,15,1,27,12,18,0,1
271,271,40,873114,0,0,1000,1251.65,0,433683,0,0,7,4,5,71200,0,1,3,1,4,1,2,37,6,1,0,0,0,0,3080,560,280,2240,1,4,2012,0,7014,1,22.583333333333332,28266.42916666667,25186.42916666667,12,7,2,19,1,4,2,1
272,332,47,994538,0,0,2000,1083.01,0,448882,1,4,2,13,2,91900,0,0,0,0,3,6,0,924,22,4,2,2,0,1,71760,11040,11040,49680,7,17,2010,1,8492,0,27.666666666666668,29963.276666666665,-41796.723333333335,11,1,1,31,7,17,0,0
273,107,26,727792,2,0,500,974.59,0,466838,0,3,1,16,5,62800,0,0,1,1,0,1,0,261,14,3,1,1,0,0,59700,11940,11940,35820,9,35,2002,0,244,1,8.916666666666666,8690.094166666668,-51009.90583333333,5,19,1,18,9,35,0,1
274,217,39,522506,0,2,2000,1399.85,0,605490,0,5,7,16,2,49900,-19800,0,0,1,1,1,1,103,16,3,0,0,2,1,64920,10820,10820,43280,5,16,1997,0,8336,1,18.083333333333332,25313.954166666663,-39606.04583333334,3,15,1,10,5,16,1,1
275,243,43,367595,1,2,500,1307.74,0,466137,0,0,6,2,3,0,-75700,0,0,0,0,4,5,605,10,3,1,0,1,0,37530,4170,4170,29190,7,36,2008,0,3281,1,20.25,26481.735,-11048.265,2,3,1,28,7,36,5,0
276,296,42,586104,1,1,2000,1219.27,0,466970,1,0,12,13,0,53100,-63400,0,2,2,0,6,1,21,9,3,2,1,2,0,64080,7120,7120,49840,10,2,2012,0,4355,1,24.666666666666668,30075.326666666668,-34004.67333333333,3,16,2,16,10,2,1,2
277,264,41,424862,2,0,500,1411.3,0,474801,1,6,9,6,4,55600,0,2,1,1,2,3,4,353,4,1,0,1,0,1,60390,10980,5490,43920,2,22,2004,1,4498,0,22.0,31048.6,-29341.4,10,16,2,8,2,22,4,1
278,108,33,512813,0,0,2000,694.45,0,450703,0,3,1,8,1,0,0,0,2,0,3,6,3,308,6,3,1,0,1,2,64350,5850,11700,46800,9,29,2011,1,9124,0,9.0,6250.05,-58099.95,1,27,1,20,9,29,3,0
279,32,38,356768,0,0,500,1006.77,6000000,478172,0,1,7,17,3,0,0,0,2,1,3,4,3,715,15,3,2,2,1,2,70900,14180,7090,49630,2,38,1997,0,1793,1,2.6666666666666665,2684.72,-68215.28,3,11,2,6,2,38,3,1
280,259,39,330506,2,1,1000,1422.36,0,604668,0,3,2,12,4,0,-83900,0,2,1,1,3,1,465,12,3,0,1,3,1,46560,7760,7760,31040,9,35,2012,0,7067,1,21.583333333333332,30699.269999999997,-15860.730000000003,9,19,1,24,9,35,1,1
281,186,33,779075,1,0,1000,1348.32,0,469429,0,0,2,6,5,37600,-37600,3,3,3,3,1,0,831,3,1,0,2,1,1,4730,860,860,3010,3,25,2013,1,1782,0,15.5,20898.96,16168.96,2,27,1,14,3,25,0,3
282,201,40,799501,2,1,2000,1315.56,0,471806,0,6,13,18,1,0,0,3,3,1,3,4,4,751,14,1,2,0,0,2,6820,1240,1240,4340,7,17,2003,0,8453,1,16.75,22035.629999999997,15215.629999999997,12,28,2,18,7,17,4,1
283,436,58,987905,2,1,2000,1407.01,5000000,475705,1,6,12,17,2,47400,-27600,2,1,0,3,6,5,290,10,1,1,0,2,1,59900,11980,5990,41930,2,37,1997,1,4638,0,36.333333333333336,51121.363333333335,-8778.636666666665,4,30,1,10,2,37,5,0
284,189,36,967756,2,1,2000,1388.58,0,459122,0,4,8,1,3,0,-49400,0,2,0,3,6,5,171,17,3,1,1,3,2,79560,13260,13260,53040,5,13,2009,0,2848,1,15.75,21870.135,-57689.865000000005,4,28,2,13,5,13,5,0
285,105,33,830414,0,2,500,1310.76,0,476737,0,2,0,11,1,0,-40900,2,0,2,2,5,4,928,8,1,2,0,1,1,70290,12780,6390,51120,0,23,2008,0,6798,1,8.75,11469.15,-58820.85,7,8,2,17,0,23,4,2
286,163,31,127313,1,0,1000,1004.63,6000000,460359,1,3,8,10,1,26900,0,0,1,2,0,4,2,266,14,3,2,2,0,0,63910,5810,11620,46480,11,15,1999,0,4664,1,13.583333333333334,13646.224166666667,-50263.77583333333,4,1,1,7,11,15,2,2
287,219,40,786957,2,0,500,1134.91,0,452735,0,0,13,9,1,68700,0,3,3,3,4,4,5,547,6,1,1,1,0,0,6400,640,640,5120,12,9,1997,0,3014,1,18.25,20712.107500000002,14312.107500000002,10,29,1,29,12,9,5,3
288,88,25,332892,1,1,1000,1194.0,0,613583,0,3,5,12,0,0,0,2,1,0,0,4,4,337,6,1,2,1,2,2,66780,7420,7420,51940,5,13,2013,1,2668,0,7.333333333333333,8756.0,-58024.0,10,25,2,13,5,13,4,0
289,40,39,448642,1,2,1000,1248.25,4000000,605692,0,1,11,10,3,0,-33300,1,3,1,3,5,4,258,8,1,0,0,2,1,8760,1460,1460,5840,2,0,2013,0,5058,1,3.3333333333333335,4160.833333333333,-4599.166666666667,3,28,2,1,2,0,4,1
290,284,42,526039,2,0,500,1338.54,-1000000,438178,1,0,6,11,5,0,0,2,2,0,0,0,0,333,13,1,2,0,1,1,94160,8560,17120,68480,3,25,1996,0,7210,1,23.666666666666668,31678.78,-62481.22,5,4,1,29,3,25,0,0
291,59,40,444422,0,1,2000,782.23,0,449221,1,1,10,9,2,64200,-32300,0,0,2,0,2,6,626,0,3,1,0,2,0,51570,5730,11460,34380,2,37,2010,0,1227,1,4.916666666666667,3845.9641666666666,-47724.035833333335,9,28,2,6,2,37,6,2
292,39,31,689500,0,1,2000,1366.9,0,459322,0,2,5,14,0,0,-15700,0,1,0,1,0,3,232,14,3,1,1,0,0,52700,10540,10540,31620,2,38,2014,1,4383,0,3.25,4442.425,-48257.575,1,28,1,28,2,38,3,0
293,147,34,806081,0,2,1000,1275.81,0,472657,1,2,11,7,5,0,-48300,2,2,1,1,1,1,762,13,1,2,2,2,1,101010,15540,15540,69930,8,24,1998,0,1450,1,12.25,15628.672499999999,-85381.3275,2,1,1,21,8,24,1,1
294,156,37,384618,1,1,500,1090.65,0,608331,1,2,3,9,4,0,-51800,0,1,1,3,0,1,688,16,4,1,1,2,2,53400,5340,5340,42720,6,10,2010,1,8011,0,13.0,14178.45,-39221.55,2,9,1,16,6,10,1,1
295,123,31,756459,1,1,500,1326.0,0,438546,0,0,9,1,5,0,-54600,2,2,2,1,4,4,209,13,1,1,1,2,0,72120,12020,12020,48080,8,24,2009,0,3483,1,10.25,13591.5,-58528.5,8,5,2,17,8,24,4,2
296,231,43,655787,0,1,2000,972.47,0,441981,1,1,10,15,5,0,-58100,0,0,1,3,3,2,616,15,3,2,2,2,2,77100,7710,15420,53970,1,4,2010,0,3151,1,19.25,18720.0475,-58379.9525,6,17,2,1,1,4,2,1
297,247,39,419954,0,0,500,806.31,0,602177,0,1,5,7,5,0,0,1,3,3,3,4,3,478,3,1,1,2,3,1,3300,600,0,2700,4,30,2003,0,7750,1,20.583333333333332,16596.5475,13296.5475,12,7,2,25,4,30,3,3
298,194,35,275092,0,2,500,1416.24,0,441659,0,4,0,9,1,0,0,1,3,1,4,6,3,796,7,1,2,1,0,1,5940,1080,540,4320,9,29,2003,0,1079,1,16.166666666666668,22895.88,16955.88,3,14,2,26,9,29,3,1
299,119,27,515698,1,1,2000,1097.64,0,614812,1,2,13,18,2,27100,0,0,1,0,2,3,3,10,16,2,0,1,0,1,63720,7080,21240,35400,0,33,2006,0,6394,1,9.916666666666666,10884.930000000002,-52835.07,8,5,2,6,0,33,3,0
300,259,43,132871,0,0,500,947.75,0,458470,0,5,4,0,1,0,-39300,3,3,3,3,4,5,201,15,1,0,1,3,0,7680,1280,640,5760,1,5,2008,0,2039,1,21.583333333333332,20455.604166666668,12775.604166666668,7,5,2,3,1,5,5,3
301,107,31,714929,0,0,2000,1018.73,5000000,469646,1,0,5,19,3,20000,-82700,0,2,2,3,1,5,836,21,3,2,1,2,1,93730,14420,21630,57680,6,8,2001,0,7368,1,8.916666666666666,9083.675833333333,-84646.32416666667,11,25,1,27,6,8,5,2
302,48,44,297816,0,0,2000,1400.74,0,611118,1,1,11,0,2,34000,-55600,0,1,0,3,0,0,818,23,3,2,0,2,1,87300,17460,17460,52380,7,36,2013,0,6561,1,4.0,5602.96,-81697.04,2,3,1,21,7,36,0,0
303,267,40,426708,0,1,500,1155.53,5000000,465158,1,3,13,4,5,0,-35200,1,3,3,3,1,1,228,5,1,1,0,2,0,5670,1260,630,3780,5,14,1997,0,1933,1,22.25,25710.5425,20040.5425,10,9,1,24,5,14,1,3
304,286,47,615047,1,1,500,1386.93,0,457130,1,2,8,3,0,54100,-77600,0,1,1,2,1,6,808,15,3,2,0,0,0,65800,13160,6580,46060,0,33,2001,0,4441,1,23.833333333333332,33055.165,-32744.835,11,20,1,17,0,33,6,1
305,175,34,771236,2,0,500,915.29,0,607893,0,3,5,0,5,82400,-57100,2,0,0,2,1,0,470,14,1,1,2,1,2,36720,4080,4080,28560,6,6,2009,1,7210,0,14.583333333333334,13347.979166666666,-23372.020833333336,5,29,2,23,6,6,0,0
306,111,29,235869,0,1,500,1239.55,2000000,464736,0,6,4,11,3,0,0,2,2,0,1,4,5,135,1,1,1,1,1,2,52800,4800,9600,38400,8,24,1996,1,1448,0,9.25,11465.8375,-41334.1625,1,22,1,9,8,24,5,0
307,151,37,931625,1,1,500,1366.42,0,476198,0,0,10,6,4,44000,0,0,1,2,1,4,0,645,14,3,0,1,2,2,59100,5910,5910,47280,9,26,1998,1,850,0,12.583333333333334,17194.118333333336,-41905.88166666667,10,18,2,15,9,26,0,2
308,156,37,371635,2,2,1000,1086.48,6000000,444903,1,0,6,10,4,0,-53800,0,1,2,2,1,4,795,17,3,1,1,1,2,77440,14080,7040,56320,11,21,1999,0,8496,1,13.0,14124.240000000002,-63315.759999999995,10,13,1,16,11,21,4,2
309,165,36,427199,0,1,2000,1247.87,0,464336,1,5,1,9,0,0,-39700,0,2,2,1,1,3,158,20,3,0,2,2,0,45700,4570,4570,36560,2,0,2008,0,1566,1,13.75,17158.212499999998,-28541.787500000002,10,1,1,14,2,0,3,2
310,253,41,261315,2,0,2000,1312.75,0,471453,0,6,11,7,2,81300,0,0,1,0,2,4,6,410,10,3,0,2,2,2,80740,7340,14680,58720,12,9,2014,1,631,0,21.083333333333332,27677.145833333332,-53062.85416666667,4,10,1,1,12,9,6,0
311,10,26,582973,1,0,2000,765.64,0,466191,1,4,11,0,1,0,-22200,0,0,0,0,4,4,673,3,3,1,0,3,1,31350,2850,5700,22800,6,6,2001,1,2441,0,0.8333333333333334,638.0333333333333,-30711.966666666667,6,11,2,16,6,6,4,0
312,158,33,278091,2,0,2000,1327.41,0,440930,0,0,5,16,2,0,-38600,2,2,2,2,4,2,769,0,1,1,0,0,1,35000,3500,7000,24500,11,21,2012,0,396,1,13.166666666666666,17477.565000000002,-17522.434999999998,12,4,1,4,11,21,2,2
313,436,59,153154,2,2,1000,1338.55,0,430380,1,6,10,2,3,39000,0,0,2,2,3,6,2,590,10,3,1,2,2,0,68000,13600,6800,47600,12,11,2014,0,1605,1,36.333333333333336,48633.98333333334,-19366.016666666663,8,21,1,12,12,11,2,2
314,91,30,515217,0,1,2000,1316.63,8000000,613178,0,5,6,9,4,43900,0,0,2,1,2,4,3,274,13,3,2,2,0,1,84500,13000,13000,58500,2,38,2009,0,1665,1,7.583333333333333,9984.444166666668,-74515.55583333333,6,18,1,8,2,38,3,1
315,256,42,860497,0,2,1000,1286.44,0,460564,0,4,13,3,5,0,-39500,2,1,1,3,6,3,214,14,1,0,2,1,1,75500,7550,15100,52850,9,35,1998,0,8322,1,21.333333333333332,27444.053333333333,-48055.94666666667,4,10,1,22,9,35,3,1
316,274,46,351741,2,2,1000,1372.18,0,439929,1,2,3,3,1,0,0,0,2,2,2,6,5,549,22,3,0,1,3,1,90600,15100,15100,60400,2,37,2009,0,6553,1,22.833333333333332,31331.443333333336,-59268.556666666664,2,3,1,13,2,37,5,2
317,275,45,403737,1,2,2000,1447.77,0,605756,0,0,0,4,5,39400,-63900,0,2,2,0,5,3,317,8,3,2,1,1,1,64320,5360,10720,48240,0,23,1998,0,8444,1,22.916666666666668,33178.0625,-31141.9375,12,6,1,18,0,23,3,2
318,1,33,162004,0,1,500,903.32,0,451184,0,2,13,19,1,0,0,0,1,1,3,1,3,551,1,3,1,1,0,1,31700,6340,3170,22190,12,18,2006,0,7062,1,0.08333333333333333,75.27666666666667,-31624.72333333333,9,19,1,19,12,18,3,1
319,85,30,740384,1,2,1000,1454.42,0,459588,1,0,10,15,2,51600,-73900,2,2,0,2,1,6,578,19,1,2,0,1,2,74280,12380,12380,49520,11,15,2006,1,7764,0,7.083333333333333,10302.141666666666,-63977.85833333334,10,29,1,31,11,15,6,0
320,233,37,876714,0,0,2000,1603.42,0,616637,0,2,11,18,5,61600,-30200,2,0,2,1,1,1,33,17,1,2,0,2,2,80520,13420,6710,60390,12,11,2005,0,8496,1,19.416666666666668,31133.071666666667,-49386.92833333333,11,3,2,6,12,11,1,2
321,142,30,951543,1,1,2000,1616.58,0,447979,1,3,0,14,0,58500,-46800,0,1,0,2,4,2,9,13,3,2,0,3,2,63600,6360,12720,44520,4,30,2010,0,4593,1,11.833333333333334,19129.53,-44470.47,7,9,2,4,4,30,2,0
322,266,44,576723,0,1,500,1611.83,0,460176,1,2,5,12,0,0,0,2,0,2,3,6,5,585,4,1,1,1,2,2,32800,3280,3280,26240,2,0,2012,0,5505,1,22.166666666666668,35728.89833333333,2928.898333333331,12,7,1,2,2,0,5,2
323,350,50,391003,2,2,500,889.13,0,459429,0,5,8,2,2,0,0,0,1,2,3,3,3,402,14,3,0,0,2,0,44190,9820,4910,29460,1,4,2015,0,3527,1,29.166666666666668,25932.958333333332,-18257.041666666668,7,1,2,26,1,4,3,2
324,97,26,225865,0,1,1000,1252.08,0,465456,1,1,3,17,1,0,0,0,1,0,2,5,6,575,4,2,2,2,2,0,50400,10080,5040,35280,6,8,2000,1,8497,0,8.083333333333334,10120.98,-40279.020000000004,11,4,2,8,6,8,6,0
325,399,55,984948,0,2,2000,995.56,0,464665,1,3,12,17,1,0,-65400,0,2,2,3,1,3,27,23,3,2,1,1,2,88400,17680,8840,61880,9,29,2010,0,7969,1,33.25,33102.369999999995,-55297.630000000005,4,14,2,7,9,29,3,2
326,305,49,890328,0,0,2000,1347.92,0,430853,0,2,4,3,3,0,-42100,0,0,2,1,1,2,550,21,3,2,0,2,1,66550,12100,6050,48400,13,20,2003,0,2004,1,25.416666666666668,34259.63333333333,-32290.36666666667,8,23,2,17,13,20,2,2
327,276,47,803294,1,0,1000,1724.09,0,615712,1,6,2,19,3,0,0,0,1,1,3,1,0,881,23,3,2,0,0,1,65780,5980,11960,47840,3,34,2014,0,7878,1,23.0,39654.06999999999,-26125.930000000008,6,18,1,12,3,34,0,1
328,257,40,414913,1,1,500,1379.93,0,608228,1,4,1,0,0,0,0,0,2,0,2,1,1,335,6,3,1,0,2,2,51810,9420,4710,37680,1,4,2002,1,929,0,21.416666666666668,29553.500833333335,-22256.499166666665,7,17,2,1,1,4,1,0
329,78,31,414519,1,1,1000,1554.64,4000000,457535,1,6,10,2,3,0,-27900,2,0,0,2,6,6,50,21,1,0,1,0,0,55660,5060,10120,40480,6,8,2009,1,5853,0,6.5,10105.16,-45554.84,1,25,2,3,6,8,6,0
330,129,28,818413,2,2,1000,1377.94,0,442540,1,5,6,0,1,0,0,2,2,0,1,1,6,367,23,1,1,2,3,1,44640,9920,4960,29760,12,9,2005,0,9129,1,10.75,14812.855,-29827.145,2,23,2,21,12,9,6,0
331,283,46,487356,0,2,2000,1313.33,0,455332,0,6,13,15,0,53500,-73600,0,0,0,0,1,5,379,3,3,1,1,3,0,77660,7060,14120,56480,9,26,2004,1,5245,0,23.583333333333332,30972.699166666665,-46687.300833333335,8,30,1,9,9,26,5,0
332,85,25,159768,1,1,500,1259.02,0,439534,0,3,12,0,4,67000,-53600,1,3,3,4,4,3,729,8,1,0,2,2,1,5640,940,940,3760,9,35,2005,0,2357,1,7.083333333333333,8918.058333333334,3278.0583333333343,9,3,2,16,9,35,3,3
333,101,26,865839,0,2,1000,1371.88,0,462420,0,4,9,15,0,0,0,1,3,3,4,5,0,800,4,1,1,2,2,1,3190,580,580,2030,11,21,1995,0,8587,1,8.416666666666666,11546.656666666668,8356.656666666668,8,2,2,4,11,21,0,3
334,96,30,406567,2,0,500,1399.27,6000000,448913,1,1,9,10,5,38900,-48700,2,2,2,1,0,0,942,22,1,1,0,0,2,53440,0,6680,46760,5,13,2004,0,4900,1,8.0,11194.16,-42245.84,9,25,2,24,5,13,0,2
335,121,31,623032,0,2,1000,1061.98,6000000,440837,0,3,1,4,4,0,0,2,1,1,3,6,2,313,16,1,0,0,1,2,65250,7250,7250,50750,2,0,2002,0,2884,1,10.083333333333334,10708.298333333334,-54541.70166666667,3,11,2,1,2,0,2,1
336,176,39,935442,2,1,500,1365.46,4000000,466634,1,1,1,17,4,0,-56600,0,2,1,1,4,1,57,14,3,0,2,1,0,44280,4920,4920,34440,3,32,2008,0,1538,1,14.666666666666666,20026.74666666667,-24253.25333333333,11,20,2,5,3,32,1,1
337,159,37,106873,0,2,1000,894.4,0,446435,1,0,12,4,5,0,-53700,2,1,2,3,1,6,150,13,1,2,2,0,0,70290,7810,7810,54670,4,30,1999,0,5976,1,13.25,11850.8,-58439.2,8,28,1,7,4,30,6,2
338,120,30,563878,1,1,500,956.69,0,438237,0,0,8,12,0,39600,-64300,2,0,1,2,1,2,654,20,1,1,1,1,2,87100,8710,8710,69680,10,1,2000,0,4588,1,10.0,9566.900000000001,-77533.1,7,16,2,6,10,1,2,1
339,212,35,620855,1,2,2000,1123.89,0,468313,1,4,8,18,4,35400,-49200,0,0,2,1,1,1,350,0,3,1,1,3,1,50380,4580,4580,41220,11,15,1996,0,9033,1,17.666666666666668,19855.390000000003,-30524.609999999997,4,29,1,21,11,15,1,2
340,290,45,583169,0,0,500,1085.03,0,476303,0,3,11,6,5,0,-61000,0,2,2,3,5,0,372,23,3,2,2,2,0,64800,12960,6480,45360,1,4,2014,1,6237,0,24.166666666666668,26221.558333333334,-38578.441666666666,2,1,3,1,1,4,0,2
341,299,42,337677,2,0,2000,1437.33,0,450339,0,0,2,12,5,25000,0,2,1,1,2,4,1,4,13,1,2,1,3,0,70400,12800,12800,44800,2,0,2000,0,2410,1,24.916666666666668,35813.472499999996,-34586.527500000004,7,20,2,24,2,0,1,1
342,66,26,445973,0,1,1000,988.29,0,476502,1,1,1,16,3,0,0,2,1,0,3,1,3,810,8,1,1,2,2,2,57860,0,10520,47340,11,19,2008,1,5925,0,5.5,5435.595,-52424.405,11,13,2,2,11,19,3,0
343,334,47,156694,0,2,500,1238.89,0,600561,1,5,10,17,2,0,0,3,3,1,4,6,3,916,3,1,1,0,3,0,6240,960,960,4320,5,16,2011,0,5000,1,27.833333333333332,34482.43833333334,28242.43833333334,5,24,1,31,5,16,3,1
344,216,38,421940,1,0,1000,1384.64,5000000,600754,0,0,12,2,4,0,0,2,1,2,3,5,1,528,16,1,1,2,3,0,66600,16650,11100,38850,7,17,2012,1,220,0,18.0,24923.52,-41676.479999999996,6,3,1,9,7,17,1,2
345,86,28,613226,1,0,2000,1595.07,0,439304,1,6,13,10,4,75800,0,2,2,1,3,5,2,667,19,1,2,0,2,2,70920,11820,11820,47280,7,36,2002,0,8586,1,7.166666666666667,11431.335,-59488.665,8,22,2,23,7,36,2,1
346,429,56,804410,2,1,1000,1127.89,6000000,460722,1,0,6,16,3,67400,-43800,2,1,1,0,6,6,512,0,1,2,2,0,2,39480,6580,6580,26320,11,15,2002,0,5891,1,35.75,40322.067500000005,842.0675000000047,12,12,1,28,11,15,6,1
347,257,43,553565,1,2,2000,929.7,6000000,618632,0,6,5,0,0,46400,-74300,2,0,2,2,5,0,316,12,1,1,2,2,2,63240,10540,5270,47430,8,12,2005,0,5809,1,21.416666666666668,19911.075,-43328.925,2,18,1,14,8,12,0,2
348,15,34,399524,0,0,1000,1829.63,0,452204,1,3,12,6,1,56700,0,0,2,2,2,4,0,35,21,3,2,1,0,1,67650,12300,6150,49200,1,5,2009,0,6305,1,1.25,2287.0375,-65362.9625,10,30,2,3,1,5,0,2
349,230,39,331595,0,0,1000,904.7,7000000,454530,0,4,2,3,4,68600,-22300,2,0,0,1,4,5,718,0,1,1,1,3,0,74200,14840,14840,44520,0,33,2002,1,5559,0,19.166666666666668,17340.083333333332,-56859.91666666667,11,29,2,17,0,33,5,0
350,250,43,380067,2,2,1000,1243.84,0,474848,0,3,12,14,3,47900,-73400,2,2,1,2,5,1,525,22,1,2,1,3,0,64900,12980,12980,38940,13,20,2011,0,572,1,20.833333333333332,25913.333333333332,-38986.66666666667,7,7,1,30,13,20,1,1
351,270,44,701521,0,2,2000,1030.95,0,435985,0,0,6,13,2,47200,0,0,1,0,0,0,3,200,20,3,1,1,0,0,35900,7180,3590,25130,1,4,2007,1,4231,0,22.5,23196.375000000004,-12703.624999999996,7,5,2,3,1,4,3,0
